id,created_at,favorite_count,retweet_count,text
1506254139587764231,2022-03-22 12:59:06+00:00,1540,121,"As we mark 50 years of #BMWM, which M model is your favourite ever? Pictures please 📸"
1505937389923061761,2022-03-21 16:00:27+00:00,424,49,"Look inside and discover the next step in electrification ✨
The BMW iX.
#THEiX #BMW #BornElectric https://t.co/6lJXgTbGSA"
1505506917371817985,2022-03-20 11:29:54+00:00,1297,98,"So many great #BMW wheel designs to choose from, so we thought we'd ask you for your favorite? Pictures please 📸 https://t.co/aXsx2Y6V3u"
1504850152246460419,2022-03-18 16:00:09+00:00,738,96,Meet our icon. Innovative design and superior comfort for today and beyond.  THE i7. Coming soon. #THEi7 https://t.co/QLIvsVLU6X
1504844899962793985,2022-03-18 15:39:17+00:00,502,50,"Glistening grille. 
The new BMW 8 Series Convertible features a BMW kidney grille with illuminated surround. 

The #BMW M850i xDrive Convertible:
Fuel consumption/100km, CO2 emission/km comb.: 11.0–10.7 l, 249–243 g. According to WLTP, https://t.co/twXzMrWMl3. https://t.co/9V7lTL45oD"
1504143935068848128,2022-03-16 17:13:54+00:00,490,56,"Looking out on the future of mobility.
The BMW iX.
#THEiX #BornElectric #BMWElectric @BMWi https://t.co/hoNqYrnvaG"
1504038703425011712,2022-03-16 10:15:45+00:00,407,63,"When did you last experience progression? Meet modern, bold, innovation. THE i7. Coming soon. #THEi7 https://t.co/mNV17tLXyP"
1503748083351531530,2022-03-15 15:00:56+00:00,359,31,"Driving emotion for generations. 
Congratulations to BMW IconicSounds composer @HansZimmer on his first-ever BAFTA win 🏆 https://t.co/4h8n163uRX"
1502585528469934082,2022-03-12 10:01:21+00:00,838,101,"A reflection of magic ✨
The BMW 8 Series Gran Coupé.
#THE8 #BMW #8Series 
__
BMW M850i xDrive Gran Coupé: Fuel consumption/100km, CO2 emission/km comb.: 11.0–10.7 l, 251–243 g. According to WLTP, https://t.co/twXzMrWMl3. https://t.co/hz8NXruopo"
1502296992998903808,2022-03-11 14:54:49+00:00,501,58,"Dress Code: Smart Casual.
IG: dschmdt 
The #BMW M3 Competition Sedan.
#THEM3 #BMWRepost
__
BMW M3 Competition Sedan: Fuel consumption/100km, CO2 emission/km comb.: 9.8 l, 224–223 g. According to WLTP, https://t.co/twXzMrWMl3. https://t.co/nXMJVXlwwA"
1500794156452569090,2022-03-07 11:23:04+00:00,720,89,"📸 #BMWRepost @lumafoto on Instagram.
Ball is life 🏀
The #BMW M4 Competition Coupé.
__
Fuel consumption/100km, CO2 emission/km comb.: 9.8 l, 224–223 g. According to WLTP, https://t.co/twXzMrWMl3. https://t.co/xZT2WKqTI6"
1500433403711209473,2022-03-06 11:29:34+00:00,183,14,And the answer is.... The BMW i4 M50 ✅
1500064227104636928,2022-03-05 11:02:36+00:00,783,47,"Can you name the car from three facts?

BMW xDrive
0-100km/h in 3.9s
400kW"
1499715537475153925,2022-03-04 11:57:02+00:00,1081,152,"Today is the launch of @thegranturismo 7. In 2014, #BMW worked with the game developers to release the BMW Vision Gran Turismo. 

Inspired by touring cars of the 70s, the car is a road racer, with crisp proportions and a dynamic silhouette. 

See you on Trial Mountain 🎮 https://t.co/eus6vTKFeQ"
1499339552980406272,2022-03-03 11:03:00+00:00,508,39,"What is your favorite season to go for a drive, and why? Sunny evenings or autumnal glow?"
1497939577687920642,2022-02-27 14:20:00+00:00,348,38,"Two #BMW X5 models and a meeting of the generations atop a snow-covered mountain. There might be an age gap, but sheer driving pleasure is guaranteed. 

🔗  https://t.co/DwiT7QHZL0"
